station,longitude,latitude
72870000,-51.527,-27.316
73300000,-52.183,-26.949
73330000,-52.367,-26.970
73350000,-52.523,-27.165
73600000,-52.326,-26.561
73690001,-52.026,-26.772
73765000,-52.750,-26.761
73770000,-52.734,-26.817
73780000,-52.902,-26.737
73820000,-52.904,-26.860
73900000,-53.009,-26.924
73960000,-52.954,-27.041
74100000,-53.229,-27.175
74205000,-53.028,-27.815
74270000,-53.320,-27.278
74295000,-53.295,-27.013
74320000,-53.286,-26.682
74370000,-53.644,-27.333
74460000,-53.728,-27.825
74470000,-53.880,-27.392
74700000,-54.464,-27.674
74750000,-54.556,-27.845
74800000,-55.027,-27.851
74880000,-54.755,-28.062
74900000,-54.940,-27.931
75550000,-55.643,-28.179
76310000,-54.915,-30.242
77150000,-57.097,-29.741
81125000,-49.340,-24.756
81140000,-49.263,-24.827
81200000,-49.000,-24.656
82009080,-48.483,-25.213
82170000,-48.834,-25.472
82320000,-49.292,-26.424
82350000,-49.081,-26.480
82770000,-48.829,-26.446
83050000,-49.995,-27.114
83105000,-49.363,-27.683
83250000,-49.606,-27.399
83300200,-49.629,-27.208
83345000,-49.833,-26.698
83440000,-49.517,-27.055
83660000,-49.365,-26.788
83675000,-49.271,-26.742
83690000,-49.237,-26.891
83800002,-49.066,-26.918
83880000,-48.933,-26.725
84071000,-48.952,-27.415
84095000,-48.934,-27.286
84100000,-48.803,-27.704
84520000,-49.116,-27.996
84551000,-49.194,-28.209
84580000,-49.106,-28.421
84600000,-49.013,-28.261
84853000,-49.593,-28.870
85400000,-53.347,-29.627
85438000,-53.375,-29.803
85480000,-53.986,-30.232
85900000,-52.377,-29.996
86100000,-50.495,-28.806
86160000,-50.456,-28.868
86410000,-51.425,-28.740
86420000,-51.608,-28.678
86480000,-51.856,-28.619
86500000,-51.833,-28.849
86510000,-51.867,-29.169
86560000,-51.953,-28.912
86580000,-51.911,-29.120
86700000,-51.923,-29.188
86745000,-52.162,-29.216
87170000,-51.387,-29.590
87380000,-51.038,-29.703
87382000,-51.148,-29.758
87450100,-51.197,-30.048
88575000,-53.268,-31.865
88750000,-52.474,-31.712
